sector,sexo,horas_semana,ingreso_mensual,ingreso_por_hora
Formal,Hombre,60,25000,96.9
Informal,Mujer,4,1720,100.0
Formal,Mujer,48,9890,47.92
Informal,Mujer,20,1290,15.0
Formal,Mujer,60,8000,31.01
Formal,Hombre,72,24000,77.52
Informal,Hombre,20,10750,125.0
Informal,Mujer,12,1935,37.5
Formal,Mujer,40,8600,50.0
Informal,Mujer,8,1290,37.5
Formal,Mujer,50,36000,167.44
Informal,Hombre,24,4300,41.67
Informal,Mujer,60,6000,23.26
Formal,Hombre,40,84000,488.37
Formal,Hombre,46,7800,39.43
Informal,Mujer,30,40000,310.08
Informal,Hombre,50,8600,40.0
Informal,Mujer,24,1978,19.17
Informal,Hombre,42,12040,66.67
Informal,Mujer,54,6450,27.78
Informal,Hombre,30,12900,100.0
Formal,Mujer,45,30000,155.04
Informal,Hombre,24,2580,25.0
Formal,Hombre,45,13760,71.11
Formal,Mujer,46,8000,40.44
Informal,Mujer,48,5160,25.0
Formal,Mujer,48,8600,41.67
Informal,Hombre,36,16000,103.36
Informal,Hombre,48,21500,104.17
Formal,Hombre,30,36000,279.07
Informal,Hombre,9,2150,55.56
Informal,Hombre,42,21070,116.67
Informal,Mujer,12,12900,250.0
Informal,Hombre,63,10750,39.68
Formal,Hombre,58,15050,60.34
Formal,Hombre,54,13800,59.43
Formal,Hombre,8,13000,377.91
Informal,Hombre,45,15050,77.78
Formal,Hombre,72,12000,38.76
Formal,Mujer,48,16000,77.52
Informal,Hombre,15,2150,33.33
Informal,Mujer,30,2580,20.0
Informal,Hombre,50,17200,80.0
Formal,Mujer,40,11000,63.95
Informal,Mujer,15,10320,160.0
Informal,Mujer,45,8600,44.44
Formal,Mujer,67,9500,32.97
Informal,Mujer,28,21500,178.57
Formal,Hombre,40,20000,116.28
Formal,Hombre,40,10000,58.14
Informal,Hombre,49,12470,59.18
Informal,Hombre,4,430,25.0
Informal,Hombre,56,28000,116.28
Formal,Hombre,40,15000,87.21
Informal,Mujer,40,10750,62.5
Informal,Mujer,40,15050,87.5
Informal,Mujer,7,9000,299.0
Formal,Mujer,54,8000,34.45
Formal,Hombre,48,10750,52.08
Formal,Mujer,45,26000,134.37
Formal,Hombre,50,20000,93.02
Informal,Hombre,56,10535,43.75
Formal,Mujer,32,10000,72.67
Informal,Hombre,35,10000,66.45
Formal,Mujer,35,18000,119.6
Informal,Mujer,40,7740,45.0
Informal,Hombre,48,8400,40.7
Informal,Mujer,3,2000,155.04
Informal,Mujer,44,18000,95.14
Informal,Hombre,52,21500,96.15
Formal,Mujer,44,12000,63.42
Informal,Mujer,26,11180,100.0
Informal,Mujer,30,8600,66.67
Informal,Hombre,55,8600,36.36
Formal,Mujer,51,10600,48.34
Formal,Mujer,36,6880,44.44
Formal,Mujer,50,60000,279.07
Formal,Mujer,45,40000,206.72
Formal,Hombre,67,50000,173.55
Formal,Mujer,7,8400,279.07
Formal,Mujer,55,7740,32.73
Formal,Hombre,24,16000,155.04
Formal,Mujer,40,9000,52.33
Formal,Hombre,63,20000,73.83
Formal,Mujer,40,10000,58.14
Formal,Mujer,50,12000,55.81
Informal,Hombre,48,10750,52.08
Formal,Mujer,60,5590,21.67
Informal,Hombre,7,731,24.29
Formal,Hombre,45,12000,62.02
Informal,Hombre,44,10320,54.55
Informal,Hombre,40,18000,104.65
Informal,Mujer,48,12000,58.14
Formal,Mujer,60,11000,42.64
Formal,Mujer,45,20000,103.36
Formal,Mujer,89,13000,33.97
Informal,Mujer,36,10320,66.67
Formal,Hombre,30,8000,62.02
Formal,Hombre,54,13000,55.99
Formal,Mujer,48,8600,41.67
Informal,Mujer,30,4400,34.11
Formal,Mujer,48,7500,36.34
Formal,Mujer,54,15050,64.81
Informal,Hombre,42,5160,28.57
Informal,Mujer,24,12900,125.0
Informal,Hombre,21,10320,114.29
Informal,Hombre,51,9200,41.95
Formal,Hombre,42,20000,110.74
Informal,Hombre,46,15050,76.09
Formal,Hombre,40,14000,81.4
Informal,Hombre,46,51600,260.87
Informal,Hombre,72,20000,64.6
Formal,Mujer,50,8600,40.0
Informal,Hombre,15,8600,133.33
Informal,Hombre,48,8600,41.67
Informal,Hombre,58,10750,43.1
Formal,Hombre,50,25000,116.28
Informal,Hombre,48,8600,41.67
Informal,Mujer,4,2150,125.0
Informal,Hombre,55,8600,36.36
Formal,Hombre,37,17000,106.85
Informal,Hombre,40,60200,350.0
Formal,Hombre,49,13330,63.27
Informal,Hombre,40,60000,348.84
Formal,Hombre,40,11000,63.95
Formal,Mujer,35,14000,93.02
Informal,Mujer,8,4000,116.28
Formal,Mujer,40,14000,81.4
Formal,Mujer,35,10000,66.45
Formal,Mujer,42,16000,88.59
Formal,Mujer,45,10000,51.68
Formal,Hombre,48,16000,77.52
Informal,Mujer,50,4085,19.0
Formal,Mujer,46,8600,43.48
Informal,Hombre,48,19350,93.75
Informal,Hombre,40,17200,100.0
Informal,Mujer,42,38700,214.29
Informal,Mujer,31,8600,64.52
Formal,Mujer,35,5500,36.54
Formal,Hombre,25,14000,130.23
Informal,Hombre,28,5000,41.53
Formal,Hombre,40,6880,40.0
Informal,Hombre,60,12900,50.0
Formal,Hombre,40,8000,46.51
Informal,Hombre,84,10000,27.69
Formal,Hombre,40,15000,87.21
Informal,Hombre,28,4300,35.71
Informal,Hombre,60,6450,25.0
Formal,Mujer,46,8000,40.44
Informal,Mujer,30,12900,100.0
Formal,Hombre,72,10000,32.3
Formal,Mujer,40,14000,81.4
Informal,Hombre,36,7740,50.0
Formal,Hombre,45,12900,66.67
Informal,Hombre,5,860,40.0
Formal,Hombre,72,6400,20.67
Informal,Hombre,18,17200,222.22
Informal,Hombre,60,20000,77.52
Informal,Mujer,21,2000,22.15
Informal,Mujer,36,7740,50.0
Informal,Mujer,15,4300,66.67
Informal,Mujer,20,8600,100.0
Formal,Hombre,48,16000,77.52
Formal,Mujer,36,30000,193.8
Informal,Hombre,77,23220,70.13
Formal,Mujer,30,16000,124.03
Informal,Mujer,54,7740,33.33
Informal,Mujer,21,3870,42.86
Informal,Mujer,72,8600,27.78
Formal,Mujer,40,18000,104.65
Formal,Hombre,105,16000,35.44
Formal,Mujer,35,12000,79.73
Informal,Hombre,75,18060,56.0
Informal,Hombre,56,10750,44.64
Informal,Hombre,48,8600,41.67
Informal,Hombre,18,30100,388.89
Formal,Hombre,40,11400,66.28
Formal,Hombre,60,8000,31.01
Informal,Hombre,36,4300,27.78
Informal,Mujer,16,6450,93.75
Informal,Mujer,20,5375,62.5
Formal,Mujer,45,7740,40.0
Formal,Hombre,72,11000,35.53
Formal,Hombre,56,12900,53.57
Informal,Mujer,30,6450,50.0
Formal,Hombre,60,7740,30.0
Informal,Mujer,63,7740,28.57
Formal,Hombre,45,16000,82.69
Informal,Hombre,48,20640,100.0
Informal,Hombre,40,27312,158.79
Informal,Mujer,46,9890,50.0
Informal,Hombre,3,1290,100.0
Formal,Hombre,40,26000,151.16
Informal,Mujer,20,6000,69.77
Informal,Hombre,36,15000,96.9
Informal,Hombre,48,15050,72.92
Informal,Mujer,6,6450,250.0
Formal,Mujer,80,6000,17.44
Informal,Mujer,36,5160,33.33
Formal,Hombre,60,10000,38.76
Formal,Mujer,18,12857,166.11
Formal,Hombre,66,20000,70.47
Formal,Mujer,40,10000,58.14
Informal,Mujer,6,2150,83.33
Informal,Mujer,24,5600,54.26
Informal,Mujer,19,10750,131.58
Informal,Hombre,21,6450,71.43
Formal,Hombre,70,24000,79.73
Formal,Mujer,40,20000,116.28
Informal,Mujer,57,2150,8.77
Informal,Hombre,68,12900,44.12
Formal,Mujer,60,12040,46.67
Informal,Mujer,56,10000,41.53
Formal,Hombre,40,30000,174.42
Informal,Mujer,16,4000,58.14
Formal,Hombre,40,80000,465.12
Formal,Hombre,24,2365,22.92
Formal,Hombre,36,16000,103.36
Informal,Mujer,35,6450,42.86
Informal,Hombre,50,12900,60.0
Formal,Hombre,48,8200,39.73
Informal,Mujer,25,55900,520.0
Informal,Mujer,25,4800,44.65
Informal,Hombre,45,10750,55.56
Formal,Mujer,40,20000,116.28
Informal,Hombre,19,3870,47.37
Informal,Hombre,48,12040,58.33
Informal,Mujer,55,10750,45.45
Informal,Mujer,60,10000,38.76
Informal,Hombre,19,12900,157.89
Informal,Mujer,15,6450,100.0
Informal,Mujer,42,11610,64.29
Informal,Mujer,48,16000,77.52
Informal,Mujer,6,4816,186.67
Informal,Hombre,24,5000,48.45
Formal,Hombre,45,13000,67.18
Informal,Mujer,52,6020,26.92
Informal,Hombre,35,40000,265.78
Informal,Mujer,36,15000,96.9
Informal,Hombre,12,2150,41.67
Formal,Hombre,40,12000,69.77
Formal,Mujer,48,11180,54.17
Informal,Hombre,48,10750,52.08
Informal,Mujer,42,5590,30.95
Formal,Hombre,45,14620,75.56
Formal,Mujer,36,15000,96.9
Informal,Hombre,12,2580,50.0
Informal,Mujer,10,3440,80.0
Formal,Hombre,36,16000,103.36
Informal,Mujer,24,4300,41.67
Informal,Hombre,70,15050,50.0
Informal,Hombre,36,7740,50.0
Informal,Hombre,25,8000,74.42
Informal,Hombre,35,17200,114.29
Informal,Mujer,48,25800,125.0
Informal,Mujer,18,3547,45.83
Formal,Mujer,55,10750,45.45
Formal,Hombre,40,18000,104.65
Formal,Hombre,40,15000,87.21
Informal,Hombre,40,18000,104.65
Formal,Mujer,48,9500,46.03
Informal,Mujer,6,500,19.38
Informal,Hombre,9,2150,55.56
Informal,Hombre,30,8600,66.67
Formal,Mujer,40,7000,40.7
Informal,Mujer,5,1720,80.0
Formal,Mujer,21,4000,44.3
Informal,Mujer,33,25800,181.82
Formal,Mujer,40,16000,93.02
Formal,Hombre,45,12900,66.67
Formal,Mujer,40,14000,81.4
Informal,Hombre,54,5160,22.22
Informal,Mujer,8,645,18.75
Informal,Hombre,5,10000,465.12
Informal,Mujer,42,20000,110.74
Formal,Mujer,35,22000,146.18
Formal,Hombre,40,14000,81.4
Informal,Hombre,32,10000,72.67
Informal,Hombre,42,35000,193.8
Formal,Hombre,40,22000,127.91
Formal,Hombre,70,24000,79.73
Formal,Hombre,40,7000,40.7
Informal,Hombre,54,30000,129.2
Formal,Hombre,45,12000,62.02
Informal,Mujer,10,2580,60.0
Informal,Mujer,18,4300,55.56
Informal,Hombre,51,7740,35.29
Informal,Hombre,48,10320,50.0
Formal,Hombre,70,20000,66.45
Formal,Hombre,47,12000,59.38
Informal,Hombre,28,12000,99.67
Informal,Mujer,9,34400,888.89
Informal,Mujer,25,6000,55.81
Informal,Mujer,42,4515,25.0
Formal,Hombre,40,14000,81.4
Formal,Mujer,40,12000,69.77
Formal,Hombre,45,8600,44.44
Formal,Hombre,48,12900,62.5
Informal,Hombre,49,10750,51.02
Informal,Mujer,60,9030,35.0
Formal,Hombre,24,14000,135.66
Informal,Hombre,48,6000,29.07
Formal,Mujer,54,8500,36.61
Informal,Mujer,40,5375,31.25
Informal,Mujer,56,6020,25.0
Formal,Mujer,35,16000,106.31
Informal,Hombre,15,1290,20.0
Informal,Hombre,54,13760,59.26
Formal,Hombre,40,14000,81.4
Formal,Hombre,40,9000,52.33
Informal,Mujer,25,1075,10.0
Informal,Hombre,20,5160,60.0
Formal,Mujer,48,9890,47.92
Informal,Mujer,22,2580,27.27
Formal,Hombre,72,8600,27.78
Informal,Hombre,11,4300,90.91
Informal,Mujer,36,6450,41.67
Formal,Mujer,40,12000,69.77
Informal,Hombre,72,5160,16.67
Formal,Hombre,45,8600,44.44
Formal,Mujer,48,12000,58.14
Formal,Hombre,45,24000,124.03
Informal,Mujer,48,9000,43.6
Informal,Mujer,12,3440,66.67
Informal,Hombre,60,12900,50.0
Informal,Mujer,3,1290,100.0
Informal,Hombre,42,5160,28.57
Informal,Hombre,84,7525,20.83
Formal,Mujer,50,40000,186.05
Informal,Mujer,21,2150,23.81
Informal,Mujer,40,16000,93.02
Formal,Hombre,55,12000,50.74
Formal,Hombre,48,9000,43.6
Informal,Mujer,6,1505,58.33
Formal,Hombre,20,17200,200.0
Informal,Hombre,30,6450,50.0
Formal,Mujer,35,18000,119.6
Formal,Mujer,55,20000,84.57
Informal,Mujer,30,6000,46.51
Formal,Hombre,60,7000,27.13
Informal,Mujer,24,12900,125.0
Informal,Mujer,48,21500,104.17
Formal,Hombre,40,10000,58.14
Formal,Hombre,48,15000,72.67
Informal,Hombre,6,2580,100.0
Informal,Hombre,56,7740,32.14
Formal,Hombre,40,20000,116.28
Informal,Hombre,48,20000,96.9
Informal,Hombre,35,4515,30.0
Informal,Mujer,28,4515,37.5
Informal,Hombre,72,6000,19.38
Formal,Mujer,35,15000,99.67
Formal,Hombre,40,14000,81.4
Formal,Mujer,40,15000,87.21
Formal,Hombre,50,10000,46.51
Formal,Mujer,41,18000,102.1
Informal,Mujer,4,516,30.0
Formal,Mujer,60,4400,17.05
Informal,Hombre,72,21500,69.44
Formal,Hombre,61,10000,38.12
Informal,Hombre,51,7740,35.29
Formal,Hombre,44,11000,58.14
Informal,Hombre,65,8600,30.77
Informal,Hombre,55,17200,72.73
Formal,Hombre,40,5000,29.07
Informal,Hombre,30,15050,116.67
Informal,Hombre,50,8600,40.0
Informal,Hombre,60,12900,50.0
Formal,Hombre,50,12000,55.81
Informal,Mujer,42,6020,33.33
Formal,Hombre,72,8600,27.78
Informal,Mujer,48,5160,25.0
Informal,Mujer,20,6020,70.0
Informal,Mujer,56,4300,17.86
Formal,Hombre,40,22000,127.91
Informal,Hombre,48,25800,125.0
Informal,Mujer,40,20000,116.28
Informal,Mujer,30,4000,31.01
Formal,Mujer,48,8600,41.67
Informal,Hombre,30,6880,53.33
Informal,Mujer,5,6450,300.0
Formal,Hombre,50,40000,186.05
Informal,Hombre,48,8600,41.67
Formal,Hombre,40,14000,81.4
Informal,Hombre,70,8600,28.57
Informal,Mujer,12,2580,50.0
Informal,Hombre,54,7000,30.15
Formal,Mujer,40,44000,255.81
Informal,Hombre,42,6450,35.71
Formal,Mujer,25,12000,111.63
Formal,Hombre,60,34400,133.33
Informal,Hombre,5,3440,160.0
Informal,Mujer,42,3870,21.43
Informal,Mujer,48,9030,43.75
Informal,Hombre,56,15480,64.29
Formal,Hombre,40,22000,127.91
Informal,Mujer,10,2150,50.0
Formal,Hombre,60,12900,50.0
Formal,Hombre,47,30000,148.44
Informal,Mujer,40,8600,50.0
Formal,Hombre,40,22000,127.91
Formal,Hombre,54,15000,64.6
Informal,Mujer,48,9030,43.75
Informal,Hombre,44,6450,34.09
Informal,Hombre,10,8600,200.0
Informal,Hombre,40,3225,18.75
Informal,Hombre,8,7740,225.0
Informal,Mujer,28,4300,35.71
Formal,Mujer,40,20000,116.28
Formal,Mujer,35,8000,53.16
Informal,Hombre,48,7740,37.5
Informal,Hombre,35,12900,85.71
Informal,Hombre,36,16000,103.36
Informal,Mujer,42,4515,25.0
Informal,Mujer,48,51600,250.0
Informal,Hombre,84,11610,32.14
Informal,Hombre,78,6450,19.23
Informal,Mujer,63,12900,47.62
Informal,Mujer,18,3870,50.0
Informal,Hombre,48,8600,41.67
Informal,Hombre,48,8600,41.67
Informal,Mujer,12,12900,250.0
Informal,Hombre,21,2580,28.57
Formal,Mujer,48,9000,43.6
Formal,Mujer,40,22000,127.91
Informal,Mujer,48,6450,31.25
Informal,Mujer,25,2150,20.0
Formal,Mujer,36,7000,45.22
Formal,Hombre,21,8000,88.59
Informal,Hombre,51,8600,39.22
Formal,Hombre,40,20000,116.28
Informal,Mujer,10,15000,348.84
Informal,Mujer,6,1720,66.67
Formal,Hombre,40,8300,48.26
Formal,Hombre,45,25000,129.2
Formal,Mujer,35,16000,106.31
Informal,Hombre,40,15050,87.5
Informal,Hombre,2,500,58.14
Formal,Hombre,40,16000,93.02
Informal,Hombre,44,5160,27.27
Informal,Hombre,78,10750,32.05
Formal,Hombre,45,8600,44.44
Informal,Hombre,65,8600,30.77
Formal,Mujer,40,5160,30.0
Formal,Mujer,40,9890,57.5
Informal,Mujer,3,3010,233.33
Informal,Mujer,40,21500,125.0
Informal,Mujer,53,10750,47.17
Informal,Mujer,3,1720,133.33
Informal,Hombre,58,10535,42.24
Informal,Hombre,44,1720,9.09
Formal,Hombre,40,30000,174.42
Formal,Mujer,40,14000,81.4
Informal,Hombre,40,6450,37.5
Formal,Hombre,22,12000,126.85
Informal,Hombre,48,7000,33.91
Informal,Hombre,60,10750,41.67
Informal,Hombre,16,3010,43.75
Formal,Mujer,51,7955,36.27
Informal,Hombre,48,10750,52.08
Informal,Hombre,12,9000,174.42
Informal,Mujer,30,51600,400.0
Informal,Mujer,20,8600,100.0
Informal,Hombre,6,1290,50.0
Informal,Mujer,50,10000,46.51
Formal,Mujer,36,11000,71.06
Formal,Hombre,45,35000,180.88
Informal,Mujer,48,8600,41.67
Formal,Hombre,60,8000,31.01
Informal,Hombre,30,15000,116.28
Informal,Mujer,8,1290,37.5
Informal,Hombre,56,6450,26.79
Informal,Hombre,1,2000,465.12
Informal,Hombre,56,4300,17.86
Formal,Hombre,31,30000,225.06
Informal,Hombre,56,12040,50.0
Formal,Mujer,30,16000,124.03
Formal,Hombre,40,10793,62.75
Informal,Hombre,72,7740,25.0
Informal,Hombre,30,43000,333.33
Informal,Hombre,48,10750,52.08
Informal,Mujer,25,8000,74.42
Informal,Mujer,10,4300,100.0
Formal,Mujer,51,10750,49.02
Informal,Mujer,48,4200,20.35
Informal,Mujer,66,9460,33.33
Informal,Mujer,24,6450,62.5
Informal,Mujer,5,1000,46.51
Informal,Hombre,72,15000,48.45
Formal,Hombre,45,3600,18.6
Informal,Mujer,40,8600,50.0
Formal,Mujer,48,10000,48.45
Informal,Mujer,18,4300,55.56
Informal,Mujer,30,6450,50.0
Formal,Hombre,35,16000,106.31
Informal,Hombre,20,3000,34.88
Informal,Hombre,50,25800,120.0
Informal,Mujer,36,6000,38.76
Informal,Hombre,42,17200,95.24
Informal,Hombre,52,6450,28.85
Formal,Hombre,30,12000,93.02
Informal,Hombre,105,30000,66.45
Formal,Hombre,50,10000,46.51
Informal,Mujer,57,6450,26.32
Informal,Hombre,16,2150,31.25
Informal,Hombre,40,15050,87.5
Informal,Hombre,49,6020,28.57
Informal,Mujer,8,4300,125.0
Informal,Mujer,8,6450,187.5
Formal,Mujer,48,10750,52.08
Informal,Mujer,5,1720,80.0
Informal,Hombre,40,13760,80.0
Informal,Mujer,50,8600,40.0
Informal,Mujer,18,5160,66.67
Informal,Mujer,12,5160,100.0
Informal,Mujer,60,7224,28.0
Informal,Mujer,60,9030,35.0
Formal,Mujer,40,24000,139.53
Informal,Hombre,49,21070,100.0
Informal,Hombre,10,5160,120.0
Informal,Hombre,54,15050,64.81
Informal,Mujer,16,8000,116.28
Informal,Hombre,24,12900,125.0
Formal,Hombre,36,32000,206.72
Informal,Hombre,30,5590,43.33
Informal,Hombre,48,9890,47.92
Informal,Mujer,30,12000,93.02
Informal,Mujer,54,4300,18.52
Informal,Mujer,36,3440,22.22
Informal,Hombre,24,6450,62.5
Formal,Mujer,48,8000,38.76
Formal,Mujer,40,8600,50.0
Informal,Mujer,56,4515,18.75
Informal,Hombre,60,10750,41.67
Formal,Mujer,48,5000,24.22
Informal,Hombre,40,20000,116.28
Formal,Mujer,50,6450,30.0
Formal,Mujer,40,4400,25.58
Informal,Hombre,50,64000,297.67
Formal,Mujer,40,14000,81.4
Informal,Mujer,6,1075,41.67
Formal,Mujer,46,10000,50.56
Informal,Mujer,48,8170,39.58
Formal,Hombre,60,12900,50.0
Informal,Mujer,28,5160,42.86
Formal,Hombre,63,8000,29.53
Informal,Mujer,24,4300,41.67
Formal,Hombre,40,13000,75.58
Formal,Mujer,45,10000,51.68
Formal,Hombre,40,40000,232.56
Informal,Mujer,37,6450,40.54
Informal,Hombre,70,15050,50.0
Formal,Mujer,36,14000,90.44
Formal,Mujer,40,9000,52.33
Informal,Hombre,16,3440,50.0
Informal,Hombre,18,2150,27.78
Informal,Hombre,98,8000,18.98
Formal,Mujer,45,30000,155.04
Informal,Mujer,36,7740,50.0
Informal,Hombre,35,5000,33.22
Formal,Mujer,45,13800,71.32
Informal,Hombre,16,2580,37.5
Formal,Mujer,25,11000,102.33
Formal,Mujer,54,7000,30.15
Formal,Hombre,14,15000,249.17
Formal,Hombre,47,11000,54.43
Informal,Hombre,18,8600,111.11
Formal,Hombre,35,14000,93.02
Formal,Mujer,58,16000,64.15
Formal,Mujer,45,8600,44.44
Informal,Hombre,8,4730,137.5
Informal,Hombre,36,6450,41.67
Informal,Hombre,48,6450,31.25
Formal,Hombre,42,12900,71.43
Formal,Hombre,58,6000,24.06
Informal,Hombre,36,5160,33.33
Formal,Mujer,40,30000,174.42
Informal,Hombre,35,22000,146.18
Formal,Mujer,40,8000,46.51
Informal,Hombre,28,15050,125.0
Informal,Hombre,24,3870,37.5
Formal,Hombre,40,32000,186.05
Informal,Mujer,22,6450,68.18
Formal,Mujer,45,7200,37.21
Informal,Hombre,60,15480,60.0
Informal,Hombre,51,6000,27.36
Formal,Mujer,48,17000,82.36
Informal,Mujer,48,17200,83.33
Formal,Hombre,54,6000,25.84
Formal,Mujer,40,8200,47.67
Formal,Hombre,77,9000,27.18
Informal,Mujer,84,7525,20.83
Informal,Mujer,6,1290,50.0
Formal,Hombre,30,14000,108.53
Informal,Mujer,4,1505,87.5
Formal,Hombre,44,8600,45.45
Informal,Hombre,56,15050,62.5
Informal,Mujer,15,12900,200.0
Formal,Mujer,48,8000,38.76
Formal,Hombre,48,30000,145.35
Informal,Hombre,48,6450,31.25
Informal,Hombre,48,15000,72.67
Formal,Mujer,40,15000,87.21
Informal,Mujer,12,2150,41.67
Informal,Hombre,40,3870,22.5
Formal,Hombre,40,30000,174.42
Formal,Mujer,35,15050,100.0
Informal,Mujer,48,4300,20.83
Informal,Hombre,60,8600,33.33
Informal,Hombre,60,8600,33.33
Formal,Mujer,40,18000,104.65
Formal,Mujer,48,8170,39.58
Formal,Mujer,32,14000,101.74
Informal,Hombre,46,25800,130.43
Formal,Mujer,50,32000,148.84
Informal,Mujer,40,4300,25.0
Informal,Mujer,30,10750,83.33
Formal,Mujer,40,27000,156.98
Formal,Hombre,40,15000,87.21
Formal,Mujer,24,30000,290.7
Formal,Mujer,50,22000,102.33
Formal,Hombre,40,13016,75.67
Informal,Hombre,50,8600,40.0
Informal,Mujer,30,8600,66.67
Informal,Mujer,60,8000,31.01
Formal,Mujer,40,30000,174.42
Formal,Mujer,40,8600,50.0
Informal,Hombre,72,4300,13.89
Informal,Hombre,55,13760,58.18
Informal,Mujer,30,4300,33.33
Formal,Hombre,45,18000,93.02
Informal,Hombre,40,21500,125.0
Formal,Hombre,44,25000,132.14
Formal,Mujer,40,40000,232.56
Informal,Mujer,15,3010,46.67
Formal,Hombre,48,8600,41.67
Informal,Mujer,30,9000,69.77
Informal,Mujer,70,4000,13.29
Formal,Hombre,45,9460,48.89
Formal,Mujer,40,22000,127.91
Formal,Mujer,40,12900,75.0
Formal,Mujer,50,8000,37.21
Informal,Mujer,67,8000,27.77
Informal,Hombre,56,10750,44.64
Informal,Mujer,18,3225,41.67
Formal,Mujer,18,20000,258.4
Informal,Hombre,17,6450,88.24
Informal,Mujer,35,5160,34.29
Informal,Mujer,12,3010,58.33
Informal,Mujer,14,3010,50.0
Informal,Mujer,28,7740,64.29
Informal,Hombre,30,6450,50.0
Formal,Mujer,30,9600,74.42
Formal,Hombre,51,12000,54.72
Informal,Mujer,8,860,25.0
Formal,Hombre,45,60000,310.08
Informal,Mujer,48,6880,33.33
Informal,Mujer,48,6450,31.25
Formal,Hombre,30,8000,62.02
Informal,Mujer,45,2580,13.33
Informal,Hombre,84,15050,41.67
Informal,Hombre,13,1290,23.08
Informal,Mujer,20,1290,15.0
Informal,Mujer,2,645,75.0
Informal,Hombre,73,6450,20.55
Informal,Mujer,40,10000,58.14
Informal,Hombre,40,5160,30.0
Formal,Mujer,47,8600,42.55
Informal,Hombre,72,11180,36.11
Informal,Hombre,40,7740,45.0
Informal,Hombre,90,10320,26.67
Informal,Hombre,56,1290,5.36
Informal,Mujer,50,13000,60.47
Informal,Mujer,40,40000,232.56
Formal,Hombre,42,8500,47.07
Informal,Mujer,6,2580,100.0
Informal,Mujer,24,4300,41.67
Informal,Mujer,36,12900,83.33
Formal,Hombre,72,9000,29.07
Informal,Hombre,26,17200,153.85
Informal,Hombre,63,10320,38.1
Informal,Hombre,48,7740,37.5
Informal,Mujer,12,1935,37.5
Formal,Mujer,35,4300,28.57
Informal,Mujer,45,6450,33.33
Informal,Hombre,23,25000,252.78
Informal,Mujer,63,2150,7.94
Informal,Mujer,10,2150,50.0
Formal,Hombre,44,10750,56.82
Informal,Mujer,40,26000,151.16
Informal,Mujer,61,15000,57.19
Informal,Hombre,10,2150,50.0
Informal,Hombre,70,9030,30.0
Informal,Hombre,56,8600,35.71
Informal,Mujer,14,1290,21.43
Informal,Mujer,20,4300,50.0
Informal,Hombre,45,8600,44.44
Formal,Hombre,40,18000,104.65
Formal,Mujer,40,12000,69.77
Informal,Hombre,12,6450,125.0
Informal,Mujer,30,7740,60.0
Informal,Hombre,42,21500,119.05
Informal,Mujer,18,5805,75.0
Informal,Mujer,27,8600,74.07
Informal,Mujer,45,6450,33.33
Informal,Mujer,48,5160,25.0
Informal,Hombre,46,21500,108.7
Formal,Hombre,48,15000,72.67
Informal,Mujer,18,1720,22.22
Formal,Hombre,32,10000,72.67
Informal,Mujer,35,4400,29.24
Informal,Mujer,25,8600,80.0
Informal,Mujer,24,7740,75.0
Informal,Hombre,45,10750,55.56
Formal,Mujer,50,28000,130.23
Informal,Mujer,8,8600,250.0
Informal,Hombre,21,1720,19.05
Informal,Hombre,15,7740,120.0
Formal,Hombre,48,6000,29.07
Informal,Hombre,30,8000,62.02
Formal,Mujer,54,9000,38.76
Informal,Hombre,35,5500,36.54
Formal,Mujer,42,14000,77.52
Formal,Hombre,5,20000,930.23
Formal,Hombre,40,15000,87.21
Informal,Mujer,60,12900,50.0
Formal,Hombre,46,4300,21.74
Formal,Mujer,55,31000,131.08
Formal,Hombre,40,8600,50.0
Informal,Hombre,60,8600,33.33
Informal,Hombre,84,15050,41.67
Informal,Hombre,60,10750,41.67
Informal,Mujer,60,8600,33.33
Informal,Mujer,25,4300,40.0
Informal,Mujer,10,6880,160.0
Formal,Mujer,60,40000,155.04
Informal,Mujer,15,400,6.2
Formal,Hombre,37,8400,52.8
Formal,Hombre,72,12000,38.76
Informal,Hombre,32,6880,50.0
Formal,Mujer,40,16000,93.02
Formal,Hombre,45,20000,103.36
Informal,Hombre,45,15050,77.78
Informal,Hombre,12,21500,416.67
Informal,Mujer,18,3225,41.67
Formal,Mujer,35,18000,119.6
Informal,Hombre,46,21500,108.7
Informal,Mujer,48,6200,30.04
Informal,Mujer,7,1290,42.86
Formal,Hombre,50,10750,50.0
Informal,Mujer,36,5000,32.3
Formal,Mujer,54,9460,40.74
Formal,Mujer,24,14000,135.66
Formal,Hombre,40,9400,54.65
Informal,Mujer,91,3010,7.69
Informal,Mujer,27,9030,77.78
Formal,Mujer,51,8471,38.63
Informal,Hombre,24,3440,33.33
Formal,Mujer,45,28000,144.7
Informal,Mujer,11,860,18.18
Informal,Hombre,32,8600,62.5
Informal,Mujer,8,1548,45.0
Informal,Hombre,60,8600,33.33
Informal,Mujer,35,7525,50.0
Informal,Hombre,58,6020,24.14
Informal,Hombre,18,5000,64.6
Informal,Hombre,56,8000,33.22
Informal,Mujer,35,8600,57.14
Formal,Hombre,50,50000,232.56
Informal,Mujer,14,5160,85.71
Informal,Hombre,28,7740,64.29
Informal,Mujer,40,9890,57.5
Informal,Hombre,48,15050,72.92
Informal,Hombre,72,5600,18.09
Informal,Hombre,24,9890,95.83
Formal,Hombre,60,38000,147.29
