sector,sexo,horas_semana,ingreso_mensual,ingreso_por_hora
Formal,Hombre,50,6000,27.91
Informal,Mujer,20,6450,75.0
Formal,Mujer,25,20000,186.05
Informal,Mujer,48,21500,104.17
Formal,Hombre,32,34400,250.0
Formal,Mujer,50,24600,114.42
Informal,Hombre,80,80000,232.56
Formal,Hombre,45,40000,206.72
Informal,Hombre,6,860,33.33
Formal,Mujer,50,10000,46.51
Formal,Mujer,40,8000,46.51
Informal,Mujer,51,6450,29.41
Informal,Mujer,21,4300,47.62
Formal,Hombre,40,6000,34.88
Informal,Mujer,84,6450,17.86
Informal,Hombre,48,20000,96.9
Informal,Mujer,48,8600,41.67
Informal,Hombre,84,12900,35.71
Informal,Mujer,12,5160,100.0
Informal,Mujer,60,6450,25.0
Informal,Mujer,8,3440,100.0
Formal,Mujer,45,8000,41.34
Formal,Mujer,32,13000,94.48
Informal,Hombre,30,8600,66.67
Informal,Hombre,50,10750,50.0
Informal,Mujer,35,50000,332.23
Informal,Hombre,54,15050,64.81
Formal,Mujer,40,18000,104.65
Formal,Hombre,55,8000,33.83
Informal,Hombre,56,15050,62.5
Formal,Hombre,41,18200,103.23
Informal,Hombre,36,84000,542.64
Informal,Hombre,42,10320,57.14
Formal,Mujer,48,8600,41.67
Formal,Hombre,45,50000,258.4
Informal,Hombre,8,2580,75.0
Informal,Mujer,48,8600,41.67
Informal,Mujer,40,16000,93.02
Informal,Hombre,62,30100,112.9
Informal,Hombre,30,7000,54.26
Informal,Mujer,30,4300,33.33
Informal,Mujer,84,45150,125.0
Formal,Hombre,45,8600,44.44
Informal,Mujer,9,2150,55.56
Formal,Hombre,50,20000,93.02
Informal,Mujer,36,5160,33.33
Informal,Hombre,72,8600,27.78
Informal,Mujer,30,5160,40.0
Informal,Mujer,18,5160,66.67
Informal,Mujer,12,1720,33.33
Formal,Mujer,48,19000,92.05
Formal,Mujer,84,8800,24.36
Formal,Mujer,50,8000,37.21
Formal,Mujer,46,30000,151.67
Informal,Mujer,2,1300,151.16
Formal,Hombre,50,35000,162.79
Informal,Mujer,21,7740,85.71
Formal,Mujer,35,10600,70.43
Formal,Hombre,37,19200,120.68
Informal,Hombre,42,8600,47.62
Formal,Mujer,72,6450,20.83
Formal,Hombre,36,16000,103.36
Informal,Mujer,25,2580,24.0
Formal,Hombre,60,16000,62.02
Informal,Mujer,30,8600,66.67
Informal,Mujer,50,7740,36.0
Formal,Hombre,40,10000,58.14
Informal,Hombre,40,22000,127.91
Informal,Mujer,24,3870,37.5
Informal,Mujer,50,28000,130.23
Formal,Hombre,60,40000,155.04
Formal,Mujer,40,35000,203.49
Informal,Hombre,60,12900,50.0
Formal,Hombre,48,10000,48.45
Formal,Mujer,40,10750,62.5
Informal,Mujer,6,1720,66.67
Formal,Hombre,35,12000,79.73
Informal,Mujer,54,19350,83.33
Informal,Hombre,40,21500,125.0
Informal,Hombre,56,1505,6.25
Informal,Hombre,54,3655,15.74
Informal,Hombre,12,3440,66.67
Informal,Hombre,30,6880,53.33
Formal,Mujer,72,13000,41.99
Informal,Mujer,6,1505,58.33
Formal,Mujer,40,14000,81.4
Formal,Hombre,41,36000,204.2
Formal,Hombre,35,15480,102.86
Formal,Hombre,68,8600,29.41
Formal,Hombre,53,20000,87.76
Informal,Hombre,71,15050,49.3
Formal,Mujer,40,10000,58.14
Formal,Hombre,40,20000,116.28
Formal,Hombre,65,50000,178.89
Informal,Hombre,12,1290,25.0
Formal,Hombre,40,28000,162.79
Formal,Mujer,50,20000,93.02
Informal,Mujer,35,6450,42.86
Informal,Mujer,60,15000,58.14
Formal,Hombre,40,16000,93.02
Informal,Mujer,48,8600,41.67
Informal,Hombre,56,9030,37.5
Formal,Hombre,35,24000,159.47
Formal,Mujer,40,18000,104.65
Informal,Mujer,6,2150,83.33
Informal,Mujer,49,10000,47.46
Formal,Hombre,40,30000,174.42
Formal,Hombre,48,8823,42.75
Formal,Mujer,48,18000,87.21
Formal,Mujer,40,7598,44.17
Informal,Hombre,56,15050,62.5
Informal,Mujer,12,6450,125.0
Informal,Hombre,12,12900,250.0
Informal,Mujer,104,16000,35.78
Informal,Mujer,9,1720,44.44
Informal,Mujer,48,9460,45.83
Informal,Hombre,30,13000,100.78
Informal,Mujer,49,15000,71.19
Formal,Hombre,45,12000,62.02
Informal,Hombre,54,7740,33.33
Informal,Hombre,48,8600,41.67
Formal,Hombre,54,17200,74.07
Formal,Mujer,60,13000,50.39
Formal,Hombre,40,20000,116.28
Informal,Mujer,15,21500,333.33
Informal,Mujer,70,8600,28.57
Formal,Mujer,50,8000,37.21
Informal,Mujer,25,8600,80.0
Formal,Hombre,58,15200,60.95
Formal,Hombre,43,30000,162.25
Formal,Mujer,30,9000,69.77
Informal,Hombre,48,6450,31.25
Formal,Mujer,48,8500,41.18
Informal,Hombre,70,30100,100.0
Formal,Mujer,40,8000,46.51
Informal,Mujer,36,12900,83.33
Informal,Mujer,8,500,14.53
Formal,Mujer,50,20000,93.02
Informal,Hombre,12,25800,500.0
Informal,Mujer,48,9030,43.75
Informal,Mujer,24,5805,56.25
Formal,Mujer,60,32000,124.03
Formal,Mujer,72,12000,38.76
Informal,Hombre,12,8600,166.67
Formal,Mujer,54,9460,40.74
